Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1801.165293695345
FDW14,OUT017,1635.4303787921278
NCN55,OUT010,1814.3896110403202
FDQ58,OUT017,2631.901731539248
FDY38,OUT027,5158.543992527666
FDH56,OUT046,1906.4509573500723
FDL48,OUT018,566.9104133950844
FDC48,OUT027,2766.466448810781
FDN33,OUT045,1604.8340976417335
FDA36,OUT017,3127.093999742844
FDT44,OUT017,2022.3699217243704
FDQ56,OUT045,1397.874534285544
NCC54,OUT019,1936.8799195109593
FDU11,OUT049,2092.1844678533753
DRL59,OUT013,930.0726717322401
FDM24,OUT049,2584.080683388086
FDI57,OUT045,3078.3380126025895
DRC12,OUT018,2699.745695306325
NCM42,OUT027,3187.690986850842
FDA46,OUT010,1094.943684482938
FDA31,OUT013,2864.5650808890487
NCJ31,OUT035,3854.658183545285
FDG52,OUT046,776.4254932831898
NCL19,OUT019,439.46284621681707
FDS10,OUT035,2971.1339144851067
FDX22,OUT010,1423.42988807272
NCF19,OUT035,940.5050823551512
NCE06,OUT046,2536.938904212391
DRC27,OUT046,3788.476901419585
FDE21,OUT035,2016.7626875640442
NCR42,OUT019,-1253.44968984986
FDX51,OUT018,2836.5281292920477
NCR06,OUT018,418.98241735543183
FDU31,OUT027,4910.2003909355735
FDU59,OUT017,2776.5603961350716
FDR03,OUT027,4716.901123704471
FDS49,OUT027,2752.8431225098275
FDD48,OUT010,-105.7545794033303
NCF18,OUT017,3129.5993681678983
NCD43,OUT027,3091.7210797414627
NCD54,OUT018,1926.9374318084235
FDY19,OUT010,-109.34326542442648
NCY54,OUT017,2891.774451544522
NCL19,OUT018,1976.5350997741446
FDP23,OUT010,1493.5554746167609
FDC26,OUT013,1886.0852710511929
FDR14,OUT010,-1015.2774883501199
NCS41,OUT035,3020.943331889245
FDF41,OUT035,4033.001276497737
FDU34,OUT046,1938.3065257650946
DRH11,OUT046,946.0728157249079
FDM03,OUT013,1790.6754846976794
FDS31,OUT017,3050.352580674131
FDJ20,OUT017,2112.5633233521735
FDV44,OUT027,4464.235660473113
FDG02,OUT049,3101.953198888133
FDA09,OUT013,2957.025487018505
FDT04,OUT013,722.5565547519309
